name	electrode_name	type	units	sampling_frequency	stream_id	gain
chan1	e000	n/a	V	2000.0	ElectricalSeries	1e-06
chan3	e001	n/a	V	2000.0	ElectricalSeries	1e-06
chan4	e002	n/a	V	2000.0	ElectricalSeries	1e-06
chan5	e003	n/a	V	2000.0	ElectricalSeries	1e-06
chan7	e004	n/a	V	2000.0	ElectricalSeries	1e-06
chan9	e005	n/a	V	2000.0	ElectricalSeries	1e-06
chan33	e006	n/a	V	2000.0	ElectricalSeries	1e-06
chan34	e007	n/a	V	2000.0	ElectricalSeries	1e-06
chan35	e008	n/a	V	2000.0	ElectricalSeries	1e-06
chan36	e009	n/a	V	2000.0	ElectricalSeries	1e-06
chan37	e010	n/a	V	2000.0	ElectricalSeries	1e-06
chan38	e011	n/a	V	2000.0	ElectricalSeries	1e-06
chan39	e012	n/a	V	2000.0	ElectricalSeries	1e-06
chan40	e013	n/a	V	2000.0	ElectricalSeries	1e-06
chan41	e014	n/a	V	2000.0	ElectricalSeries	1e-06
chan42	e015	n/a	V	2000.0	ElectricalSeries	1e-06
chan43	e016	n/a	V	2000.0	ElectricalSeries	1e-06
chan44	e017	n/a	V	2000.0	ElectricalSeries	1e-06
chan45	e018	n/a	V	2000.0	ElectricalSeries	1e-06
chan46	e019	n/a	V	2000.0	ElectricalSeries	1e-06
chan47	e020	n/a	V	2000.0	ElectricalSeries	1e-06
chan48	e021	n/a	V	2000.0	ElectricalSeries	1e-06
chan49	e022	n/a	V	2000.0	ElectricalSeries	1e-06
chan50	e023	n/a	V	2000.0	ElectricalSeries	1e-06
chan51	e024	n/a	V	2000.0	ElectricalSeries	1e-06
chan52	e025	n/a	V	2000.0	ElectricalSeries	1e-06
chan53	e026	n/a	V	2000.0	ElectricalSeries	1e-06
chan54	e027	n/a	V	2000.0	ElectricalSeries	1e-06
chan55	e028	n/a	V	2000.0	ElectricalSeries	1e-06
chan56	e029	n/a	V	2000.0	ElectricalSeries	1e-06
ainp1	e030	n/a	V	2000.0	ElectricalSeries	1e-06
ainp2	e031	n/a	V	2000.0	ElectricalSeries	1e-06
ainp3	e032	n/a	V	2000.0	ElectricalSeries	1e-06
ainp4	e033	n/a	V	2000.0	ElectricalSeries	1e-06
ainp5	e034	n/a	V	2000.0	ElectricalSeries	1e-06
